filename,Conference,Year,Number of Figures,Paper Title,Paper DOI,Author,paper_url,Paper type,Keywords Author,thumb_url,url
2008 Bachthaler 10.1109/TVCG.2008.119 1.png,Vis,2008,10,Continuous Scatterplots,10.1109/TVCG.2008.119,Sven Bachthaler;Daniel Weiskopf,http://dx.doi.org/10.1109/TVCG.2008.119,J,"Scatterplot, histogram, continuous frequency plot, interpolation",http://web.cse.ohio-state.edu/~li.8950/data/image/visthumbnail/2008%20Bachthaler%2010.1109:TVCG.2008.119%201.png,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis_images/2008%20Bachthaler%2010.1109:TVCG.2008.119%201.png
2008 Bachthaler 10.1109/TVCG.2008.119 10.png,Vis,2008,10,Continuous Scatterplots,10.1109/TVCG.2008.119,Sven Bachthaler;Daniel Weiskopf,http://dx.doi.org/10.1109/TVCG.2008.119,J,"Scatterplot, histogram, continuous frequency plot, interpolation",http://web.cse.ohio-state.edu/~li.8950/data/image/visthumbnail/2008%20Bachthaler%2010.1109:TVCG.2008.119%2010.png,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis_images/2008%20Bachthaler%2010.1109:TVCG.2008.119%2010.png
2008 Bachthaler 10.1109/TVCG.2008.119 2.png,Vis,2008,10,Continuous Scatterplots,10.1109/TVCG.2008.119,Sven Bachthaler;Daniel Weiskopf,http://dx.doi.org/10.1109/TVCG.2008.119,J,"Scatterplot, histogram, continuous frequency plot, interpolation",http://web.cse.ohio-state.edu/~li.8950/data/image/visthumbnail/2008%20Bachthaler%2010.1109:TVCG.2008.119%202.png,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis_images/2008%20Bachthaler%2010.1109:TVCG.2008.119%202.png
2008 Bachthaler 10.1109/TVCG.2008.119 3.png,Vis,2008,10,Continuous Scatterplots,10.1109/TVCG.2008.119,Sven Bachthaler;Daniel Weiskopf,http://dx.doi.org/10.1109/TVCG.2008.119,J,"Scatterplot, histogram, continuous frequency plot, interpolation",http://web.cse.ohio-state.edu/~li.8950/data/image/visthumbnail/2008%20Bachthaler%2010.1109:TVCG.2008.119%203.png,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis_images/2008%20Bachthaler%2010.1109:TVCG.2008.119%203.png
2008 Bachthaler 10.1109/TVCG.2008.119 4.png,Vis,2008,10,Continuous Scatterplots,10.1109/TVCG.2008.119,Sven Bachthaler;Daniel Weiskopf,http://dx.doi.org/10.1109/TVCG.2008.119,J,"Scatterplot, histogram, continuous frequency plot, interpolation",http://web.cse.ohio-state.edu/~li.8950/data/image/visthumbnail/2008%20Bachthaler%2010.1109:TVCG.2008.119%204.png,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis_images/2008%20Bachthaler%2010.1109:TVCG.2008.119%204.png
2008 Bachthaler 10.1109/TVCG.2008.119 5.png,Vis,2008,10,Continuous Scatterplots,10.1109/TVCG.2008.119,Sven Bachthaler;Daniel Weiskopf,http://dx.doi.org/10.1109/TVCG.2008.119,J,"Scatterplot, histogram, continuous frequency plot, interpolation",http://web.cse.ohio-state.edu/~li.8950/data/image/visthumbnail/2008%20Bachthaler%2010.1109:TVCG.2008.119%205.png,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis_images/2008%20Bachthaler%2010.1109:TVCG.2008.119%205.png
2008 Bachthaler 10.1109/TVCG.2008.119 6.png,Vis,2008,10,Continuous Scatterplots,10.1109/TVCG.2008.119,Sven Bachthaler;Daniel Weiskopf,http://dx.doi.org/10.1109/TVCG.2008.119,J,"Scatterplot, histogram, continuous frequency plot, interpolation",http://web.cse.ohio-state.edu/~li.8950/data/image/visthumbnail/2008%20Bachthaler%2010.1109:TVCG.2008.119%206.png,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis_images/2008%20Bachthaler%2010.1109:TVCG.2008.119%206.png
2008 Bachthaler 10.1109/TVCG.2008.119 7.png,Vis,2008,10,Continuous Scatterplots,10.1109/TVCG.2008.119,Sven Bachthaler;Daniel Weiskopf,http://dx.doi.org/10.1109/TVCG.2008.119,J,"Scatterplot, histogram, continuous frequency plot, interpolation",http://web.cse.ohio-state.edu/~li.8950/data/image/visthumbnail/2008%20Bachthaler%2010.1109:TVCG.2008.119%207.png,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis_images/2008%20Bachthaler%2010.1109:TVCG.2008.119%207.png
2008 Bachthaler 10.1109/TVCG.2008.119 8.png,Vis,2008,10,Continuous Scatterplots,10.1109/TVCG.2008.119,Sven Bachthaler;Daniel Weiskopf,http://dx.doi.org/10.1109/TVCG.2008.119,J,"Scatterplot, histogram, continuous frequency plot, interpolation",http://web.cse.ohio-state.edu/~li.8950/data/image/visthumbnail/2008%20Bachthaler%2010.1109:TVCG.2008.119%208.png,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis_images/2008%20Bachthaler%2010.1109:TVCG.2008.119%208.png
2008 Bachthaler 10.1109/TVCG.2008.119 9.png,Vis,2008,10,Continuous Scatterplots,10.1109/TVCG.2008.119,Sven Bachthaler;Daniel Weiskopf,http://dx.doi.org/10.1109/TVCG.2008.119,J,"Scatterplot, histogram, continuous frequency plot, interpolation",http://web.cse.ohio-state.edu/~li.8950/data/image/visthumbnail/2008%20Bachthaler%2010.1109:TVCG.2008.119%209.png,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis_images/2008%20Bachthaler%2010.1109:TVCG.2008.119%209.png
