year-index,filename,sizeW,sizeH,image_proportion,vis_type,Conference,Year,pageNum,Paper DOI,thumb_url,url,Paper type,Paper Title,Author,Keywords Author,paper_url
1,Vis.6.1.jpg,959,638,0.161786,11,Vis,1990,2,10.1109/VISUAL.1990.146359,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.6.1.jpg,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990/Vis.6.1.jpg,C,Surface representations of two- and three-dimensional fluid flow topology,J.L. Helman;L. Hesselink,,http://dx.doi.org/10.1109/VISUAL.1990.146359
2,Vis.6.2.jpg,593,435,0.068869,11,Vis,1990,3,10.1109/VISUAL.1990.146359,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.6.2.jpg,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990/Vis.6.2.jpg,C,Surface representations of two- and three-dimensional fluid flow topology,J.L. Helman;L. Hesselink,,http://dx.doi.org/10.1109/VISUAL.1990.146359
3,Vis.6.3.jpg,1138,538,0.163457,2,Vis,1990,3,10.1109/VISUAL.1990.146359,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.6.3.jpg,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990/Vis.6.3.jpg,C,Surface representations of two- and three-dimensional fluid flow topology,J.L. Helman;L. Hesselink,,http://dx.doi.org/10.1109/VISUAL.1990.146359
4,Vis.6.4.jpg,564,376,0.055695,2,Vis,1990,4,10.1109/VISUAL.1990.146359,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.6.4.jpg,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990/Vis.6.4.jpg,C,Surface representations of two- and three-dimensional fluid flow topology,J.L. Helman;L. Hesselink,,http://dx.doi.org/10.1109/VISUAL.1990.146359
5,Vis.6.5.jpg,553,277,0.040230,11,Vis,1990,4,10.1109/VISUAL.1990.146359,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.6.5.jpg,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990/Vis.6.5.jpg,C,Surface representations of two- and three-dimensional fluid flow topology,J.L. Helman;L. Hesselink,,http://dx.doi.org/10.1109/VISUAL.1990.146359
6,Vis.6.6.jpg,589,433,0.066981,11,Vis,1990,4,10.1109/VISUAL.1990.146359,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.6.6.jpg,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990/Vis.6.6.jpg,C,Surface representations of two- and three-dimensional fluid flow topology,J.L. Helman;L. Hesselink,,http://dx.doi.org/10.1109/VISUAL.1990.146359
7,Vis.6.7.jpg,1074,654,0.185262,6,Vis,1990,5,10.1109/VISUAL.1990.146359,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.6.7.jpg,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990/Vis.6.7.jpg,C,Surface representations of two- and three-dimensional fluid flow topology,J.L. Helman;L. Hesselink,,http://dx.doi.org/10.1109/VISUAL.1990.146359
8,Vis.6.8.jpg,594,410,0.064235,11,Vis,1990,5,10.1109/VISUAL.1990.146359,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.6.8.jpg,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990/Vis.6.8.jpg,C,Surface representations of two- and three-dimensional fluid flow topology,J.L. Helman;L. Hesselink,,http://dx.doi.org/10.1109/VISUAL.1990.146359
9,Vis.6.9.jpg,516,464,0.063207,6,Vis,1990,6,10.1109/VISUAL.1990.146359,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.6.9.jpg,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990/Vis.6.9.jpg,C,Surface representations of two- and three-dimensional fluid flow topology,J.L. Helman;L. Hesselink,,http://dx.doi.org/10.1109/VISUAL.1990.146359
10,Vis.6.10.jpg,883,659,0.153618,11,Vis,1990,6,10.1109/VISUAL.1990.146359,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.6.10.jpg,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990/Vis.6.10.jpg,C,Surface representations of two- and three-dimensional fluid flow topology,J.L. Helman;L. Hesselink,,http://dx.doi.org/10.1109/VISUAL.1990.146359
11,Vis.6.11.jpg,898,719,0.170806,11,Vis,1990,7,10.1109/VISUAL.1990.146359,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.6.11.jpg,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990/Vis.6.11.jpg,C,Surface representations of two- and three-dimensional fluid flow topology,J.L. Helman;L. Hesselink,,http://dx.doi.org/10.1109/VISUAL.1990.146359
12,Vis.14.12.jpg,1314,1512,0.519877,14,Vis,1990,12,10.1109/VISUAL.1990.146360,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.14.12.jpg,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990/Vis.14.12.jpg,C,FAST: a multi-processed environment for visualization of computational fluid dynamics,G.V. Bancroft;F.J. Merritt;T.C. Plessel;P.G. Kelaita;R.K. McCabe;A. Globus,,http://dx.doi.org/10.1109/VISUAL.1990.146360
13,Vis.14.13.jpg,424,399,0.044833,2,Vis,1990,13,10.1109/VISUAL.1990.146360,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.14.13.jpg,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990/Vis.14.13.jpg,C,FAST: a multi-processed environment for visualization of computational fluid dynamics,G.V. Bancroft;F.J. Merritt;T.C. Plessel;P.G. Kelaita;R.K. McCabe;A. Globus,,http://dx.doi.org/10.1109/VISUAL.1990.146360
14,Vis.14.14.jpg,427,370,0.041869,2,Vis,1990,13,10.1109/VISUAL.1990.146360,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.14.14.jpg,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990/Vis.14.14.jpg,C,FAST: a multi-processed environment for visualization of computational fluid dynamics,G.V. Bancroft;F.J. Merritt;T.C. Plessel;P.G. Kelaita;R.K. McCabe;A. Globus,,http://dx.doi.org/10.1109/VISUAL.1990.146360
