Conference,Year,Number of Figures,Paper Title,Paper DOI,Author,URL,Paper type,Keywords Author,Paper ID,Number of Pages,Number of Figures,image name identification,medical,biology,brain,tract,flow,vector,tensor,particle,physics,streamline,biomedical_vis,flow_vis,isIncluded
Vis,2008,14,A Comparison of the Perceptual Benefits of Linear Perspective and Physically-Based Illumination for Display of Dense 3D Streamtubes,10.1109/TVCG.2008.108,Chris Weigle;David C. Banks,http://dx.doi.org/10.1109/TVCG.2008.108,J,"user study, volume completion, 3D shape perception, physically-based illumination, global illumination, local illumination, multi-scale visualization, flow visualization, streamtubes, DT-MRI, white matter tractography",p1,8,14,2008 Weigle 10.1109/TVCG.2008.108,0,0,0,1,1,0,0,0,0,1,1,1,1
Vis,2008,6,A Practical Approach to Morse-Smale Complex Computation: Scalability and Generality,10.1109/TVCG.2008.110,Attila Gyulassy;Peer-Timo Bremer;Bernd Hamann;Valerio Pascucci,http://dx.doi.org/10.1109/TVCG.2008.110,J,"Topology-based analysis, Morse-Smale complex, large scale data",p2,8,6,2008 Gyulassy 10.1109/TVCG.2008.110,0,0,0,0,0,0,0,0,0,0,0,0,0
Vis,2008,10,AD-Frustum: Adaptive Frustum Tracing for Interactive Sound Propagation,10.1109/TVCG.2008.111,Anish Chandak;Christian Lauterbach;Micah T. Taylor;Zhimin Ren;Dinesh Manocha,http://dx.doi.org/10.1109/TVCG.2008.111,J,"Sound propagation, interactive system, auralization",p3,8,10,2008 Chandak 10.1109/TVCG.2008.111,0,0,0,0,0,0,0,0,0,0,0,0,0
Vis,2008,12,An Efficient Naturalness-Preserving Image-Recoloring Method for Dichromats,10.1109/TVCG.2008.112,Giovane R. Kuhn;Manuel Menezes de Oliveira Neto;Leandro A. F. Fernandes,http://dx.doi.org/10.1109/TVCG.2008.112,J,"Color-contrast enhancement, Color-vision deficiency, Recoloring algorithms, Information and Scientific Visualization",p4,8,12,2008 Kuhn 10.1109/TVCG.2008.112,0,0,0,0,0,0,0,0,0,0,0,0,0
Vis,2008,8,Box Spline Reconstruction On The Face-Centered Cubic Lattice,10.1109/TVCG.2008.115,Inho Kim;Alireza Entezari;Jörg Peters,http://dx.doi.org/10.1109/TVCG.2008.115,J,"Volumetric data reconstruction, box spline, Face-Centered Cubic lattice",p5,8,8,2008 Kim 10.1109/TVCG.2008.115,0,0,0,0,0,0,0,0,0,0,0,0,0
Vis,2008,13,Brushing of Attribute Clouds for the Visualization of Multivariate Data,10.1109/TVCG.2008.116,Heike Leitte;Michael Böttinger;Gerik Scheuermann,http://dx.doi.org/10.1109/TVCG.2008.116,J,"Multivariate data, brushing, data transformation, manifold learning, linked views",p6,8,13,2008 Leitte 10.1109/TVCG.2008.116,0,0,0,0,0,0,0,0,0,0,0,0,0
Vis,2008,13,Color Design for Illustrative Visualization,10.1109/TVCG.2008.118,Lujin Wang;Joachim Giesen;Kevin T. McDonnell;Peter Zolliker;Klaus Mueller,http://dx.doi.org/10.1109/TVCG.2008.118,J,"Color design, volume rendering, transparency, user study evaluation, conjoint analysis, illustrative visualization",p7,8,13,2008 Wang 10.1109/TVCG.2008.118,0,0,0,0,0,0,0,0,0,0,0,0,1
Vis,2008,10,Continuous Scatterplots,10.1109/TVCG.2008.119,Sven Bachthaler;Daniel Weiskopf,http://dx.doi.org/10.1109/TVCG.2008.119,J,"Scatterplot, histogram, continuous frequency plot, interpolation",p8,8,10,2008 Bachthaler 10.1109/TVCG.2008.119,0,0,0,0,0,0,0,0,0,0,0,0,0
Vis,2008,10,Direct Volume Editing,10.1109/TVCG.2008.120,Kai Bürger;Jens H. Krüger;Rüdiger Westermann,http://dx.doi.org/10.1109/TVCG.2008.120,J,"Volume editing, GPU, painting, carving, annotations",p9,8,10,2008 Bürger 10.1109/TVCG.2008.120,0,0,0,0,0,0,0,0,0,0,0,0,1
Vis,2008,9,Edge Groups: An Approach to Understanding the Mesh Quality of Marching Methods,10.1109/TVCG.2008.122,Carlos A. Dietrich;Carlos Eduardo Scheidegger;João Luiz Dihl Comba;Luciana Porcher Nedel;Cláudio T. Silva,http://dx.doi.org/10.1109/TVCG.2008.122,J,"Isosurface extraction, Marching Cubes",p10,8,9,2008 Dietrich 10.1109/TVCG.2008.122,0,0,0,0,0,0,0,0,0,0,0,0,0
