year-index,filename,Conference,Year,Paper DOI,thumb_url,cap_url,url,fileIndex,imageID,Paper type,Paper Title,Author,Keywords Author,paper_url,Paper FirstPage,Paper LastPage,globalIndex,recodeRank,img_width,img_height,isUP
1,Vis.6.1.jpg,Vis,1990,10.1109/VISUAL.1990.146359,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.6.1.jpg,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990WCap/Vis.6.1.jpg,https://vispubimg.s3.us-east-2.amazonaws.com/vispubimg/1990/Vis.6.1.png,I1,I1Y1990,C,Surface representations of two- and three-dimensional fluid flow topology,J.L. Helman;L. Hesselink,,http://dx.doi.org/10.1109/VISUAL.1990.146359,6,"13, 460",1,1,960,639,0
2,Vis.6.10.jpg,Vis,1990,10.1109/VISUAL.1990.146359,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.6.10.jpg,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990WCap/Vis.6.10.jpg,https://vispubimg.s3.us-east-2.amazonaws.com/vispubimg/1990/Vis.6.9.png,I2,I2Y1990,C,Surface representations of two- and three-dimensional fluid flow topology,J.L. Helman;L. Hesselink,,http://dx.doi.org/10.1109/VISUAL.1990.146359,6,"13, 460",2,9,632,442,0
3,Vis.6.11.png,Vis,1990,10.1109/VISUAL.1990.146359,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.6.11.png,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990WCap/Vis.6.11.png,https://vispubimg.s3.us-east-2.amazonaws.com/vispubimg/1990/Vis.6.11.png,I3,I3Y1990,C,Surface representations of two- and three-dimensional fluid flow topology,J.L. Helman;L. Hesselink,,http://dx.doi.org/10.1109/VISUAL.1990.146359,6,"13, 460",3,11,620,447,0
4,Vis.6.2.jpg,Vis,1990,10.1109/VISUAL.1990.146359,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.6.2.jpg,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990WCap/Vis.6.2.jpg,https://vispubimg.s3.us-east-2.amazonaws.com/vispubimg/1990/Vis.6.2.png,I4,I4Y1990,C,Surface representations of two- and three-dimensional fluid flow topology,J.L. Helman;L. Hesselink,,http://dx.doi.org/10.1109/VISUAL.1990.146359,6,"13, 460",4,2,1372,1038,0
5,Vis.6.3.jpg,Vis,1990,10.1109/VISUAL.1990.146359,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.6.3.jpg,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990WCap/Vis.6.3.jpg,https://vispubimg.s3.us-east-2.amazonaws.com/vispubimg/1990/Vis.6.3.png,I5,I5Y1990,C,Surface representations of two- and three-dimensional fluid flow topology,J.L. Helman;L. Hesselink,,http://dx.doi.org/10.1109/VISUAL.1990.146359,6,"13, 460",5,3,1139,539,0
6,Vis.6.4.jpg,Vis,1990,10.1109/VISUAL.1990.146359,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.6.4.jpg,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990WCap/Vis.6.4.jpg,https://vispubimg.s3.us-east-2.amazonaws.com/vispubimg/1990/Vis.6.4.png,I6,I6Y1990,C,Surface representations of two- and three-dimensional fluid flow topology,J.L. Helman;L. Hesselink,,http://dx.doi.org/10.1109/VISUAL.1990.146359,6,"13, 460",6,4,565,377,0
7,Vis.6.5.jpg,Vis,1990,10.1109/VISUAL.1990.146359,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.6.5.jpg,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990WCap/Vis.6.5.jpg,https://vispubimg.s3.us-east-2.amazonaws.com/vispubimg/1990/Vis.6.5.png,I7,I7Y1990,C,Surface representations of two- and three-dimensional fluid flow topology,J.L. Helman;L. Hesselink,,http://dx.doi.org/10.1109/VISUAL.1990.146359,6,"13, 460",7,5,632,434,0
8,Vis.6.6.jpg,Vis,1990,10.1109/VISUAL.1990.146359,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.6.6.jpg,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990WCap/Vis.6.6.jpg,https://vispubimg.s3.us-east-2.amazonaws.com/vispubimg/1990/Vis.6.6.png,I8,I8Y1990,C,Surface representations of two- and three-dimensional fluid flow topology,J.L. Helman;L. Hesselink,,http://dx.doi.org/10.1109/VISUAL.1990.146359,6,"13, 460",8,6,990,728,0
9,Vis.6.7.jpg,Vis,1990,10.1109/VISUAL.1990.146359,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.6.7.jpg,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990WCap/Vis.6.7.jpg,https://vispubimg.s3.us-east-2.amazonaws.com/vispubimg/1990/Vis.6.7.png,I9,I9Y1990,C,Surface representations of two- and three-dimensional fluid flow topology,J.L. Helman;L. Hesselink,,http://dx.doi.org/10.1109/VISUAL.1990.146359,6,"13, 460",9,7,1075,655,0
10,Vis.6.8.jpg,Vis,1990,10.1109/VISUAL.1990.146359,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.6.8.jpg,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990WCap/Vis.6.8.jpg,https://vispubimg.s3.us-east-2.amazonaws.com/vispubimg/1990/Vis.6.8.png,I10,I10Y1990,C,Surface representations of two- and three-dimensional fluid flow topology,J.L. Helman;L. Hesselink,,http://dx.doi.org/10.1109/VISUAL.1990.146359,6,"13, 460",10,8,1218,846,0
11,Vis.6.9.jpg,Vis,1990,10.1109/VISUAL.1990.146359,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.6.9.jpg,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990WCap/Vis.6.9.jpg,https://vispubimg.s3.us-east-2.amazonaws.com/vispubimg/1990/Vis.6.10.png,I11,I11Y1990,C,Surface representations of two- and three-dimensional fluid flow topology,J.L. Helman;L. Hesselink,,http://dx.doi.org/10.1109/VISUAL.1990.146359,6,"13, 460",11,10,480,412,0
12,Vis.14.12.jpg,Vis,1990,10.1109/VISUAL.1990.146360,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.14.12.jpg,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990WCap/Vis.14.12.jpg,https://vispubimg.s3.us-east-2.amazonaws.com/vispubimg/1990/Vis.14.12.png,I12,I12Y1990,C,FAST: a multi-processed environment for visualization of computational fluid dynamics,G.V. Bancroft;F.J. Merritt;T.C. Plessel;P.G. Kelaita;R.K. McCabe;A. Globus,,http://dx.doi.org/10.1109/VISUAL.1990.146360,14,"27, 461-2",12,12,1315,1513,0
13,Vis.14.13.jpg,Vis,1990,10.1109/VISUAL.1990.146360,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.14.13.jpg,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990WCap/Vis.14.13.jpg,https://vispubimg.s3.us-east-2.amazonaws.com/vispubimg/1990/Vis.14.13.png,I13,I13Y1990,C,FAST: a multi-processed environment for visualization of computational fluid dynamics,G.V. Bancroft;F.J. Merritt;T.C. Plessel;P.G. Kelaita;R.K. McCabe;A. Globus,,http://dx.doi.org/10.1109/VISUAL.1990.146360,14,"27, 461-2",13,13,1072,826,0
14,Vis.14.14.png,Vis,1990,10.1109/VISUAL.1990.146360,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.14.14.png,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990WCap/Vis.14.14.png,https://vispubimg.s3.us-east-2.amazonaws.com/vispubimg/1990/Vis.14.14.png,I14,I14Y1990,C,FAST: a multi-processed environment for visualization of computational fluid dynamics,G.V. Bancroft;F.J. Merritt;T.C. Plessel;P.G. Kelaita;R.K. McCabe;A. Globus,,http://dx.doi.org/10.1109/VISUAL.1990.146360,14,"27, 461-2",14,14,508,389,0
15,Vis.14.15.png,Vis,1990,10.1109/VISUAL.1990.146360,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990thumb/Vis.14.15.png,http://web.cse.ohio-state.edu/~li.8950/data/image/vispubimg/1990WCap/Vis.14.15.png,https://vispubimg.s3.us-east-2.amazonaws.com/vispubimg/1990/Vis.14.15.png,I15,I15Y1990,C,FAST: a multi-processed environment for visualization of computational fluid dynamics,G.V. Bancroft;F.J. Merritt;T.C. Plessel;P.G. Kelaita;R.K. McCabe;A. Globus,,http://dx.doi.org/10.1109/VISUAL.1990.146360,14,"27, 461-2",15,15,1062,804,0
